word,num,x,y,z
外出,74,-2.405076037,1.075708214,-2.450838417
陰性,74,-1.960758481,-3.115597653,0.8604504917
パーフェクト,74,0.2704130919,-1.461608938,-0.1206421611
運勢,74,1.701832671,-0.9975681995,0.328824964
授業,73,-3.14830062,-1.57566785,-0.5955775939
退院,73,-2.089566196,1.529711735,-4.045578535
危機,72,-2.021137234,-0.8603143473,-5.000857238
開始,72,-3.648113201,8.393360655,3.572924277
全員,72,-0.02547011815,-3.05506338,-4.280746179
給付,71,-6.891673793,3.1698598,-1.165470429
電話,71,-1.768830511,0.4069196686,3.451878414
公表,71,-9.278091884,6.397095084,-7.212999076
保健,71,1.517331459,5.78444694,1.84522203
大麻,71,2.514761455,-0.1637174334,1.463377965
間,71,6.569607819,3.284277212,6.33475213
高校,71,9.719122691,4.515493005,0.7788518312
商品,70,-5.192361518,-2.228222802,4.587078513
ホームページ,70,1.885136892,3.947133881,1.590842522
消費,70,-11.85797491,2.387648121,1.833548965
被害,70,-5.54977291,1.522001915,-1.504544604
菌,70,-4.4908993,-6.043431579,4.335036001
放送,70,-1.256689704,6.351721892,-0.08851823542
看護,70,1.874106319,1.217508544,-0.727447164
土,69,6.9452987,3.960028473,1.150729549
理由,69,-3.829538096,-4.234571444,-3.092282284
防災,69,-0.7806061348,7.073213127,4.583595826
海外,68,-2.525805227,1.396432428,-0.1722129387
蔓延,68,-4.045795076,1.301109348,-3.747858067
在住,68,2.680447849,7.44278728,-5.801687795
市,68,15.33997353,14.48568426,8.138262295
入場,68,-3.628623524,4.01399248,0.3720503202
次,67,5.017738642,0.4889967313,-0.8430975498
指,67,-4.761782762,1.650019809,-3.029743993
介護,67,-1.791633059,2.339837743,-0.4388426516
希望,66,-2.67684928,2.158681795,-6.8489377
休業,66,-3.494688588,4.203295441,-1.593835941
密,66,0.6293459134,-2.766204787,-1.253980103
議員,66,4.160827033,5.725577988,-5.663221522
リーグ,66,-0.9959728891,4.294020364,-0.5006176511
訓練,66,-4.954066115,3.334757758,0.6428842334
